alcaldia,riesgo_inund_max,riesgo_inund_mean,riesgo_inund_moda,riesgo_precip_max,riesgo_precip_mean
Alvaro Obregon,2,1.055,1,4,3.4
Azcapotzalco,5,4.766990291262136,5,4,3.3398058252427183
Benito Juarez,5,4.196078431372549,5,4,2.588235294117647
Coyoacan,5,3.878205128205128,5,3,2.3333333333333335
Cuajimalpa de Morelos,1,1.0,1,4,3.4545454545454546
Cuauhtemoc,5,4.967320261437909,5,4,2.5163398692810457
Gustavo A. Madero,5,4.137254901960785,5,4,2.133986928104575
Iztacalco,5,4.990909090909091,5,2,1.981818181818182
Iztapalapa,5,4.12882096069869,5,2,1.5873362445414847
La Magdalena Contreras,2,1.0754716981132075,1,4,3.018867924528302
Miguel Hidalgo,5,2.687022900763359,1,4,3.8702290076335877
Milpa Alta,5,1.2608695652173914,1,5,2.1739130434782608
Tlahuac,5,4.2956521739130435,5,2,1.0956521739130434
Tlalpan,5,2.0,1,4,2.928909952606635
Venustiano Carranza,5,4.960264900662252,5,2,1.8211920529801324
Xochimilco,5,2.9444444444444446,1,4,2.388888888888889
